VideoID,Valence,Veracity,Sex,Race,VidLength_ms,VidLength_sec,WordCount,Accuracy,TruthProp,Attractive,Trustworthy,Anxious,Transcription
BF004_2NL,0,0,0,0,26847,26.85,126,0.55,0.45,4.41,3.68,3.82,"Um, I don’t like this particular person because she never invites me to any place that, um, I already told her that I was interested in going. She, um, sometimes, sometimes I would tell her that I really wanted to, like, go to this party or something and I was trying to find people to go with me and then she wouldn’t, she would tell me that like oh yeah, she was going and then like she would kind of say she wasn’t going like the next day and then after that she would, I would figure out that she went. And, um, other than that she’s just a mean person in general. She, she just talks about everybody, she’s really prejudice, I don’t like her."
BF004_3NT,0,1,0,0,38570,38.57,127,0.73,0.73,4.59,4.14,3.41,"So I told the person that I don’t like that I like this guy, um, like on the football team, he’s like one of our neighbors, one of, like everyone’s closest friends, my closest friend, and my friend’s, the girl I don’t like’s closest friend. And, um, she either ignored me or just didn’t pay attention or anything and then she all of a sudden started dating him and she was kind of talking bad about me to him and pretty much I’m not friends with her, not friends with him anymore and yeah it kind of stinks and she always like, I don’t know, she finds a way to like make fun of me in front of like our mutual friends and I don’t like her."
BF004_4PL,1,0,0,0,37376,37.38,109,0.43,0.57,4.87,4.39,3.43,"We’re friends because we have a lot of mutual friends. She, um, got me together with, um, this guy on the football team. We’ve been, all three of us have been really, really tight, we’ve been really close and, um, we, I don’t know, we do everything together. We, um, always hang out and we’re on the same team, we always hang out and practice and after practice and dinner and stuff and, um, she’s someone I can rely and talk to about anything and I feel like she can, I feel really respected and I respect her, so it’s a good relationship and I like that we’re friends."
BF006_1PT,1,1,0,0,31914,31.91,65,0.48,0.48,4.19,3.95,3.57,"Someone that I met a couple years ago, um, we’ve grown together. He’s one of the most truthful, most loyal, um, guys that I’ve ever met. We, it’s a lot of honesty in our relationship. He, um, he gives me a lot of time, a lot of trust, um. Started off as best friends and it grew into something better and it makes me happy."
BF006_2NL,0,0,0,0,30975,30.98,78,0.05,0.95,4.74,5,2.74,"This guy is someone who at first I fell for really hard, um, we grew together, he became one of my best friends and that led into a really strong full relationship. But once I really got to know him, he was somebody that I honestly do not wish upon any other woman, he was a cheater, he’s a liar, very unloyal, unfaithful, and honestly showed me what I did not want to look for in a man."
BF006_3NT,0,1,0,0,35370,35.37,73,0.68,0.68,3.55,4.18,3.64,"There’s this girl who I met my first year on campus. Um, for some reason I’ve never spoke to her, never had a conversation, nothing, just saw her by a couple times on campus, um, but for some reason just disliked me. Um, and I found out that it was for no apparent reason. Um, she was very nasty towards me, she made up lies, um, and just very dishonest for no reason."
BF006_4PL,1,0,0,0,32384,32.38,93,0.32,0.68,4.36,4.77,2.73,"This girl that I met, it was actually my freshmen year, um, she was actually an upperclassmen, she was a junior so, I was a freshmen at the time, didn’t really know much about campus. She, we, me and her instantly clicked. She was really sweet, very very helpful. Um, she helped me through all types of things that I needed. She became more of a mentor to me, um, and then later a really great best friend and I honestly can say that I’m very lucky to have met someone like her."
BF008_1PT,1,1,0,0,37844,37.84,78,0.24,0.24,3.67,2.62,3.95,I like my friend and She’s blond and she’s pretty and she’s funny um we like to drink wine together and watch movies or we like to sometimes like go to Kroger and steal things which is bad probably shouldn’t have said that sorry umm she goes to OU and right now she’s on a plane to Vegas with her mom and were best friends since we were eleven and we did a lot of fun things together 
BF008_2NL,0,0,0,0,37264,37.26,107,0.57,0.43,3.14,3.81,2.95,There’s this girl and I met her a while ago and I don’t really like her that much I think she’s kind of a cheapskate and I think she is really annoying and I think she’s like low key jealous of me which who isn’t? Um she is kind of inconsiderate like super inconsiderate and she’s kind of like horrible um I think that she needs to get a reality check because she obviously is like the worst person in the world and she thinks she’s like better than everybody else and it’s like get off your high horse because you’re not that cool or that awesome. 
BF008_3NT,0,1,0,0,37589,37.59,81,0.05,0.05,3.32,2.47,2.89,This person is horrible and she’s really ugly and she’s pretty disgusting um she really needs to go and re do her blond hair because her highlights are looking terrible right now. um she’s not funny she’s not charming she’s not nearly as interesting as myself um she’s pretty hideous umm she should be locked away in some type of penitentiary or something um for forever and after she does that she should just go because I hate her so much  
BF008_4PL,1,0,0,0,34997,35,46,0.86,0.14,3.19,3,4.19,"This person is cool to hang out with and they are funny and smart and they are, have nice tendencies and she can be cool, like I said she can be super considerate at times and she can sometimes be a fun time all the time "
BF013_1PT,1,1,0,0,34346,34.35,72,0.58,0.58,4.21,4,3.16,"I have this friend we met last year and ever since then everything’s just clicked, we’re all in this together.  There’s about three of us but and we do we tend to click really well we just we don’t always agree on everything but um we get along and we share the same interests and when we don’t we still have things to talk about.  I think we will be longtime friends.  "
BF013_2NL,0,0,0,0,27007,27.01,108,0.33,0.67,4.62,4.43,3,So my friend we hang out a lot we’ve lived together for the past two years she’s great but she really has some bad hygiene like she doesn’t clean up her side sometimes doesn’t take showers like after we got to the rec and workouts really disgusting and um when we sometimes you know I’m good with her situation and I try to talk to her but she just doesn’t care she just only worries about herself and so you know its really hard talking to her and I hate that you know she’s supposed to be a friend she’s supposed to have someone that she can talk
BF013_3NT,0,1,0,0,34058,34.06,109,0.62,0.62,3.86,4.05,2.43,There’s this girl umm she has really bad hair and a bad attitude and I don’t really like her because we were friends we once were friends but then one day she decided to show no loyalty to me so you know I don’t keep people around me like that um she wanted to hang out and everything but then I found out  she was talking to my boyfriend so you know I just I’m the not type of person to confront or anything or be mean or anything I just decided to [indistinguishable statement] her out of my life because I just wanted to be the bigger person. 
BF013_4PL,1,0,0,0,36063,36.06,128,0.2,0.8,4.8,4.3,3.05,"When we first met I knew we were gonna be best friends I just knew she was [stuttering] just so funny and I knew that we would connect  after having one conversation with her and we did.  Um we spent a lot of time, she like instantly came over to my house usually I don’t allow people come over to my house unless I’ve known them for a while, but she came over we had a slumber party, we went shopping, we talked about boys and everything, you know the norm um my parents loved her and we just spent so much time together we just instantly became best friends.  I’ve never met someone that um I became friends with so quickly but uh it just worked out.   "
BF014_1PT,1,1,0,0,32384,32.38,52,0.47,0.47,4.05,3.79,3.68,"She’s very opinionated. Um, she, sh, we watch Scandal together. Well, not together, but, together. Um, we, um, she’s very confident so she’s funny. She’s, um, she doesn't take no for an answer and, um, she’s, she’s pretty cool. We watch a lot of shows together, Adult Swim, and stuff like that."
BF014_2NL,0,0,0,0,35413,35.41,61,0.79,0.21,4.05,3.16,3.58,"This person, she’s, she’s very obnoxious. She’s really, really, she’s really like annoying when it comes to eating with her mouth open and stuff like that. It’s really, really annoying. She doesn’t really, she’s not, she’s just, she’s really, really mean when it comes to like other people. She smells a certain way, like I don’t like the smell of her."
BF014_3NT,0,1,0,0,35114,35.11,76,0.52,0.52,4.52,3.9,3.43,"This person is, such a bad attitude and she thinks that she’s better than everybody. And she’s not sensitive to other people’s like, she’s just not sensitive at all. She’s very, very stuck up; she really, really thinks that she is amazing. And that’s okay, but I mean, you think that you’re really, she just really, really just irks me. And she just has a bad attitude and, um, yeah, mostly I never see her again."
BF014_4PL,1,0,0,0,35199,35.2,75,0.57,0.43,3.81,3.57,3.24,"She has really pretty hair. Like her hair is always on point, as well as her clothes. She’s very athletic, um, she’s a really good gymnast, like, very flexible. A great athlete. Um, a great track, um, she runs track and she’s really, really good at that. And did I say that her outfits on point? Everything is on point with her, um, make up and everything like that. And she’s very, very, very confident."
BF015_1PT,1,1,0,0,38570,38.57,110,0.81,0.81,3.81,5.05,2.62,"So, this person I honestly like because they’re very, um, expressive and enthusiastic about everything in general. Um, he really draws you in with his conversation. We have, um, theater, uh, and, as a sort of common point to, to jump off from and to talk about, um, he’s just very expressive and you kinda can’t help but like him. Um, he’s very open to all different types of people so he really makes you feel, like, welcome and not self-conscious. And, um, he’ll say anything and everything so the things that I think but wouldn’t say he always says. So, that’s something I, um, especially like about this person."
BF015_2NL,0,0,0,0,38271,38.27,108,0.32,0.68,3.58,4.79,2.74,"The person that I genuinely dislike, um, he’s, he’s kind of a jerk actually. Um, it’s, it’s, it’s, very like loud and in your face and kind of aggressive and that’s something, I like, I don’t respond to well, personally, so, I don’t really like that about them. Um, it’s kinda just talks too much and is just a little too lose and will say anything. And I think it’s kind of, um, it’s rude to just sort of say, like, whatever you want without considering the other person. So, I would just kind of just rather not spend time with this person if I had the choice."
BF015_3NT,0,1,0,0,38143,38.14,98,0.68,0.68,3.37,4.26,2.63,"This person is someone that I really, um, don't care for. Um, it’s kinda just, is rude I guess is like the best word to describe it. Um, it’s just, it’s frustrating when someone is supposed to be there to help you learn something and then at the end of your experience with that person you just kinda walk away know you’re not better off at all for having interacted with or known this person. So he’s just very, um, he’s very frustrating and just, um, extremely irritating. A lot of things go unsaid and very passive aggressive."
BF015_4PL,1,0,0,0,37375,37.38,128,0.19,0.81,3.71,5.29,2.52,"This person is one of my favorite professors that I’ve ever had. Um, I really enjoyed this class and it was all, um, he was all about building a sense of community and, um, just having like a really fun and positive work environment. So he was always really fun to interact with. And we just kind of came to class and we just sort of fell into this really nice group and a nice pattern of, uh, doing things. And it, really easy to talk to and, um, explain things well, was attentive and, you know, didn’t make you feel like, you know, “Oh, you don’t know what you’re doing.” It was just, he was easy to approach and talk to, so I enjoyed him a lot."
BF016_1PT,1,1,0,0,38997,39,110,0.71,0.71,4.05,4.48,3.62,"I really like um my friend because he’s really funny and um goofy and I think it kind of brings out a better part of my personality at times um I really like how motivated he is um so he plays a sport and he just so ambitious, he’s always trying to find new ways to better himself at the same thing, which I think is so interesting because I mean how good can you get if you just practice the same thing but it’s kind of inspiring, makes me wanna, I dunno, find something as passion, to be as passionate about as that, and just practice forever I guess"
BF016_2NL,0,0,0,0,38954,38.95,87,0.35,0.65,4.35,4.3,3.05,"I really dislike this person because he’s just selfish sometimes and you know um he thinks he’s better, I think he thinks he’s really great at this sport and he’s not that great, um, and I think he kind of overshadows his team with his big cocky mouth and self and maybe he just uh tone it down a little bit, he should just tone it down a lot of bit, and try to be a better, show be sportsmanship, that what it is, show better sportsmanship"
BF016_3NT,0,1,0,0,38143,38.14,111,0.74,0.74,4.42,4.42,2.37,"I really don’t like this person, um because she’s selfish, like okay, selfish is not even the right, she’s childish, she’s manipulative and overbearing and I think most of all I don’t like this person because she’s she has an attitude of no other and she has so much growing up to do and like as a older person in a family you should look up to that person as like a resource for wisdom or I don’t know, some type of guidance, but she’s just not that, and she’s just hurtful and she’s harmful to people and I think, really I just dislike everything about her, really her personality sucks"
BF016_4PL,1,0,0,0,39381,39.38,73,0.68,0.32,4.68,3.47,4.42,"I really like this friend because um she’s nice and she’s uh nice and she’s smart and she’s um is a leader and she guides our family she’s like the head of our family and she guides us to be better people in life and she’s just really a source of wisdom, you can ask her anything and she knows about it, she’s really smart, intellectual, and she has a really great spirit"
BF018_1PT,1,1,0,0,39594,39.59,87,0.53,0.53,3.95,4.37,3.05,"Concerning the person I like, I love to be around them just you know hanging out, going to see, exploring new things, I love to go to the movies with them, or go definitely grab food, talk about things that are going on in our lives, just get to know each other, I feel very comfortable talking to them, maybe going shopping, she’s a lot of fun, so I really just love to definitely go out and do new things and yeah, just enjoy each other’s company"
BF018_2NL,0,0,0,0,37887,37.89,97,0.36,0.64,3.45,4.18,3,"I cannot stand a liar and that is exactly what that person is. They are crude, they are not understanding of other people’s feelings, they are inconsiderate, they often show up late to meetings and things we are supposed to be on time to. They even have a poor look about them, and they don’t care about how they look or how they smell, they don’t care if they physically harm other people, they’re just very offensive and no one likes to be around them and that includes me, because of how rude they are and nasty"
BF018_3NT,0,1,0,0,39509,39.51,79,0.55,0.55,3.75,4.05,2.8,"This person is very inconsiderate and inconsistent. They will claim that you can reach out to them and then you can’t, and then they will also be unprofessional in a professional setting. They will not be honest, they have no integrity, they don’t follow up. They never put themselves in another person’s shoes. They don’t care about how their actions affect other people. They’re selfish, and they just do not put any care into other people, everything’s about them"
BF018_4PL,1,0,0,0,38868,38.87,82,0.47,0.53,3.58,4.74,2.84,"They are the most considerate person that I have had to interact with. They go the extra mile to make sure that everyone is on the same page. They are always very considerate about another person’s time. They make sure that you always feel comfortable around them and that everything’s understood. They definitely want the best for everyone that’s around them and everyone they encounter. They invest in people, including me, and I just love how considerate they are, and how kind"
BF019_1PT,1,1,0,0,33279,33.28,92,0.75,0.75,3.85,4.65,2.85,"So I'm going to talk about my mom, she's a really nice person. Um, she's been there for me since I've been born. Um, she recently has had, um, some tough times but she's just really strong, she's an honest person and she's a very loyal, loyalty is really important to her. Um, She, um, has a lot of kids, but she has always put her children before anyone else. That's always been her top priority and I just really honor her and she's really funny and I just enjoy every minute."
BF019_2NL,0,0,0,0,34048,34.05,101,0.45,0.55,3.8,4,2.75,"I'm going to talk about my mom. I really don't like her. She's very mean, she's very nasty. Um, she's always making up lies about me. Um, she never has my side in anything I do and just never, we just don't communicate well at all. Um, and a lot of times, she's really hard to talk to, I think that's the biggest thing. I don't like her personality. I don't like the way she, um, acts or carries herself, and it's just really depressing because, um, she doesn't want to change. And that's why, it's just, I don't like it."
BF019_3NT,0,1,0,0,33279,33.28,118,0.62,0.62,3.52,4.19,3.57,"I do not like one of my previous friends. She used to be my friend, um, she started rumors about me and she lied to me. We almost, um, we had a relationship for a while but then she got all crazy and psycho and then she started like ganging up with my other friends against me and it was just crazy and then she sent me like a hatful email talking about how I'm a terrible person    and I'm never going to amount to anything and it just got really crazy and she's just so, like nasty and so self-defeated and that just pissed me off like in general, just how deceitful and how much she lied."
BF019_4PL,1,0,0,0,34304,34.3,93,0.05,0.95,4.1,5.45,1.9,"One of my closest friends, she has always been by my side. She has never lied about me. Um, she always has my back, and um, she's really funny, she always made me laugh and sometimes she would make me laugh so hard that it was like, I would be crying. Um and, we're just the best of friends and we have um always been, vibed well together and its just I really cherish our relationship she's like a really great person to be around, and she's really nice, and um, very friendly."
BF020_1PT,1,1,0,0,28586,28.59,87,0.64,0.64,3.95,4.36,3.36,"I really like this person that I met at Miami University last year. umm. I met her the first day I got here actually. And she is really inspiring. Um. I like this person because she is truthful. Shes is encouraging. Um. I help her, she helps me. It's just great. We have fun together. It's like one of those friendships where we don't have to talk all the time, but when we do talk it's like we picked up from like right from where we started."
BF020_2NL,0,0,0,0,33407,33.41,88,0.45,0.55,4.1,3.9,2.9,"This girl gets on my nerves. She always putting her two sense on every situation. She always wants to make a comment on your life and what you're doing instead of minding her own business. Um. If you ask her about something she won't take your feelings into consideration. She'll just tell you your opinions. Um. She is very opinionated. She speaks up, um, about everything that she is passionate about and like girl, I don't care. Um. Not everybody needs to know your opinions all the time."
BF020_3NT,0,1,0,0,32340,32.34,137,0.75,0.75,4.3,4.1,2.75,"There's this guy and I can't stand him. Um. I know him and I have to interact with him in a professional setting. And he is very unprofessional, he never has his stuff together. He always expects that we do things in a timely manner but he never does anything in a timely manner. He always um, he never explains anything. Like he won't email you back. He doesn't put the stuff up when he is suppose to. Um. He's so boring. he talk like, like he has a Ph.D, and he talks like we know what were, what he is talking about and I'm like mmmm no I don't. I don't know what you're talking about, I don't really care what you're talking about. So you need to dumb it down, because it's not that hard."
BF020_4PL,1,0,0,0,40074,40.07,68,0.48,0.52,3.95,3.86,3.52,There's this um man he's really inspiring. Um. He's very knowlegable about what he speaks about on a daily basis. Um. His office has like so many books on the table where it's just like wow you really know what you're talking about. He's enlightening. Um. He breaks it down for us in a way that's simple and easy to understand. Um He's a fair ess fair grader.
BF022_1PT,1,1,0,0,39168,39.17,81,0.58,0.58,4.42,4.37,2.68,"The person I like, she’s always been there for me no matter what. I could call the person now if I never needed some money, if I ever needed food. Um, gives me good criticism, tells me when I’m wrong, not trying to be like, like a negative person. Um, the person gives me good advice about other people. Um, evaluates me and their relationship. Um, can be hard sometimes but in a good-natured way. Um, just a good person (indistinguishable)"
BF022_2NL,0,0,0,0,36352,36.35,77,0.55,0.45,3.73,3.5,2.82,"Uh, this person, she’s just has a nasty attitude, she doesn’t care about anybody but herself. She is more concerned about money than other people’s well being. Very judgmental. I don’t think she cares about anything but like, just God, like just imp-trying to impress that upon other people. Like she is such a goody good, that’s what you would think she was for her whole life, like I don’t get it. She just is rude, mean."
BF022_3NT,0,1,0,0,37034,37.03,63,0.58,0.58,4.42,4,2.53,"You know those people that use people, they’re one of those people. Um, very, very selfish, doesn’t think about anybody but theirself. They continuously think that the sun sets on them, that’s it. They sneaky. Can’t be trusted. They’re on my blocked list. Um, they, then they want you to feel sorry for ‘em, like, like you did something wrong. Just a brood."
BF022_4PL,1,0,0,0,35583,35.58,110,0.5,0.5,4.45,4.2,2.1,"He’s probably one of the most generous people I’ve ever met. Um, he’s like the type to, if you call him he’ll drop whatever he’s doing and be on his way at that second, like it doesn’t take much, it doesn’t take long at all, he’ll come. Um, always, you know, real understanding, can always see the other side. Man, he’s done taken, he’s tooken me to eat so many times, taken me out. Like, um, he’s let me, you know, stay there when I’ve had problems with my family, like just a, you know, just always there for somebody, you know, when they need him right then and there."
BF023_1PT,1,1,0,0,29312,29.31,124,0.43,0.43,3.33,3.95,3.24,"I met this person randomly because I was hanging out with one of my other friends and she just happened to be there and I didn’t know who she was because I’ve never seen her before and I was like, “uh she seems cool”, but I didn’t really care and then I saw her again the next day and it was weird because we randomly just started talking and then we started talking and we ended up talking like all night and we became like, *snaps*like that, like *snaps* that. I like her because she’s like really cool. She just laid back, we’re like really fun and just like always, we help each other in life and stuff so just a really good friend."
BF023_2NL,0,0,0,0,30677,30.68,77,0.5,0.5,3.28,4.06,3.61,"This person, she’s just, she always talks about me and she talks about everybody and she’s just really, like, just talks about everyone. And she’s super messy, she like doesn’t really have regard for other people, she’s actually extremely selfish. And, um, she like, I don’t know, she’s just really weird, like, she’ll act like, she’ll like, she’d eat different around certain people and like she just doesn’t really have regards for anyone except for really herself."
BF023_3NT,0,1,0,0,32820,32.82,145,0.5,0.5,3,3.5,3.18,"First of all, she is a liar. She fakes everything that happens to her in her lifetime. Like, she just doesn’t, like I don’t understand. And then she’s one of those people that like wants to please everybody – for what?! Like, I don’t understand. But she likes to please everybody. And then like, so, she’ll change who she is depending on who she’s around and, um, she like talks about people. Like one minute, like you could literally be standing there, walk away and she would have told another person your whole life story, uh, within the time period that you were gone. Like within a five minute period she would have been able to talk all this smack or whatever. And she’s also really annoying and she’s just like, just so annoying, she’s an irritating person so yeah that’s who I don’t …"
BF023_4PL,1,0,0,0,40074,40.07,52,0.85,0.15,3.25,3.2,4.05,"So this person, um, she’s really nice. She takes the time to see if people are okay and, um, is extremely selfless. Um, they, this person, um, will randomly text you and say “how are you today” or something like that and they, um, always look out for others other than themselves."
BF024_1PT,1,1,0,0,26069,26.07,95,0.57,0.57,3.95,4.43,3.62,"I met this girl freshmen year, um, she came to my room to ask how to, uh, fix her cable and we just became best friends ever since. Um, I could talk to her about anything, we can do anything together we just relate to each other on a different level. Um, I love going to get food with her. We love getting food together and hanging out, doing homework. She motivates me to get my work done and stay on task at school. Um, she’s just very smart and I love everything about her."
BF024_2NL,0,0,0,0,38314,38.31,112,0.48,0.52,3.52,3.52,3.38,"I met this girl freshmen year and we used to be friends but she changed so much and now I can’t stand her. Her voice even annoys me. Her laugh is so annoying.  She’s so needy and she’s not very supportive of anything that I do. Um, she’s always asking questions and bashing everything that I do. Um, like she’ll tell me that she likes my jeans but then when I tell her where I got them from she’ll tell me that she no longer likes them because she doesn’t like that store. And I just don’t like people like that because that’s not cool. She really just annoys my whole life."
BF024_3NT,0,1,0,0,38996,39,115,0.79,0.79,4.42,4.32,3.32,"I cannot stand this girl at all. I met her my freshmen year of high school and, um, or actually my sophomore year of high school and she came into high school and she just decided that she didn’t like me because she liked my boyfriend. And I don’t even like that type of stuff because you’re not going to disrespect me or my relationship and I don’t like the type of girl that she is. Um, she does way too much in the world for me and she’s just very fake and disgusting. Um, this girl really just like burned my soul, like when I think about her, when I see her, I’m disgusted."
BF024_4PL,1,0,0,0,37716,37.72,68,0.23,0.77,4.36,4.45,3.18,"I met this girl my sophomore year of high school. Um, she’s always been such a great friend to me, she’s always there whenever I need her. Um, we can kick it together, we can talk about anything – boys, you know, school problems, work problems, family problems. She’s just, um, like a good hearted person and, um, everything, um, that she does is definitely from her heart."
BF025_1PT,1,1,0,0,29908,29.91,110,0.64,0.64,4.91,4.73,2.36,"I really like this person, she’s loving, she’s caring, she’s sweet, she’s always there when I need her.  Every time we hang out we have fun. Um we talk about things I don’t talk about with my other friends or associates. She’s always there when I need somebody to lay my head on, my shoulder on, to cry on.  Um she always makes me laugh, she’s so funny like every time we hang out we’re laughing literally the whole entire time.  We have so many similarities we have like everything in common so we never really have any arguments.  We just have so much fun together I really love her.  "
BF025_2NL,0,0,0,0,41002,41,112,0.29,0.71,3.71,3.43,2.38,"I can not stand being around this girl, she’s always negative and she never knows how to be nice to anyone, she always thinks about herself and she just always just wants to complain about every little thing in life like she’s never happy and every time I ask her to do something for me that I would do for her she would just say no and she would always just have negative attitudes and bring everybody else down and you can’t even go out in public with her because she will embarrass you and  try to argue with  someone else for no reason. She’s very argumentative and she’s a trouble starter."
BF025_3NT,0,1,0,0,35893,35.89,103,0.81,0.81,4.24,4.33,2.52,"I can not stand this attention seeking female, every time I see her she has something negative to say, she’s always trying to bring somebody else down, she thinks she’s better than everybody when she’s really not.  And then um she always wants to argue or put on social media her problems and expect everybody to show sympathy for her but then when somebody else does it she wants to criticize them or ridicule them for how they feel.  She’s negative and she’s rude and she only thinks about herself because she thinks that she’s the center of attention and it’s her world.  "
BF025_4PL,1,0,0,0,36351,36.35,78,0.25,0.75,4.8,4.5,1.9,"She’s nice and she’s sweet and she’s considerate.  She’s always doing things for others, she’s always going out of her way and she always brings positive energy.  She’s a great person to be around.  She’s always smiling and laughing and bringing joys to the room um I like spending time with her because we’re we’re great compatible people that never tend to argue um she’s very caring, she’s always there when you need a shoulder to lean on. "
BF027_1PT,1,1,0,0,25002,25,82,0.58,0.58,3.89,3.95,4,"I met him sophomore year he played football at Miami um he’s very outgoing, super nice, he wants to help anybody and everybody he would be willing to give the clothes off his back if someone needed um he’s a teacher, he wants to help anybody he can.  He teaches fifth graders in the inner city who are not up to par with their knowledge or their reading um he wants to be a physical therapist for children at the children’s hospital.  "
